Dates,Total Entries,Total Exits
2016-01-01,2526728,2084949
2016-01-02,2971689,2362068
2016-01-03,2424741,1953525
2016-01-04,5251329,3883860
2016-01-05,5256490,3895179
2016-01-06,5494769,4069510
2016-01-07,5521836,4091106
2016-01-08,5523825,4116503
2016-01-09,3064353,2448903
2016-01-10,2209342,1802374
2016-01-11,5369792,3973015
2016-01-12,5483887,4064542
2016-01-13,5473239,4062089
2016-01-14,5521263,4080666
2016-01-15,5521213,4096222
2016-01-16,3015268,2394457
2016-01-17,2406446,1950199
2016-01-18,3279306,2572235
2016-01-19,5364765,3966086
2016-01-20,5540183,4080114
2016-01-21,5619106,4139926
2016-01-22,5509708,4055384
2016-01-23,1080188,971704
2016-01-24,1609870,1309833
2016-01-25,5196042,3809616
2016-01-26,5568360,4107406
2016-01-27,5635759,4194489
2016-01-28,5640162,4202228
2016-01-29,5552482,4158319
2016-01-30,3194453,2541803
2016-01-31,2496354,2018515
2016-02-01,5441899,4055819
2016-02-02,5777162,4284469
2016-02-03,5676298,4196807
2016-02-04,5847570,4304883
2016-02-05,5475325,4082359
2016-02-06,3160217,2522845
2016-02-07,2422292,1964329
2016-02-08,5089493,3831419
2016-02-09,5629204,4155277
2016-02-10,5754770,4225694
2016-02-11,5759455,4221256
2016-02-12,5325153,3959088
2016-02-13,2663470,2136605
2016-02-14,2056787,1696153
2016-02-15,3038060,2362235
2016-02-16,4996471,3754831
2016-02-17,5400739,4061768
2016-02-18,5401384,4048981
2016-02-19,5258680,3949771
2016-02-20,3109464,2493946
2016-02-21,2366270,1944687
2016-02-22,5506003,4040308
2016-02-23,5616256,4130767
2016-02-24,5523814,4063415
2016-02-25,5751864,4233608
2016-02-26,5622394,4162799
2016-02-27,3151737,2501926
2016-02-28,2513230,2026103
2016-02-29,5510995,4057196
2016-03-01,5753772,4232489
2016-03-02,5733227,4254300
2016-03-03,5777499,4267393
2016-03-04,5599087,4141714
2016-03-05,3239428,2597234
2016-03-06,2520430,2056513
2016-03-07,5609359,4105440
2016-03-08,5830710,4276813
2016-03-09,5882158,4320954
2016-03-10,5872672,4320838
2016-03-11,5809596,4307810
2016-03-12,3372085,2677584
2016-03-13,2561455,2092925
2016-03-14,5449808,3954184
2016-03-15,5783531,4187430
2016-03-16,5875885,4244750
2016-03-17,5905219,4298322
2016-03-18,5838147,4302267
2016-03-19,3337202,2588531
2016-03-20,2514529,1992677
2016-03-21,5557775,4029887
2016-03-22,5747935,4190040
2016-03-23,5779942,4264743
2016-03-24,5846709,4352032
2016-03-25,4743327,3710559
2016-03-26,3296457,2680709
2016-03-27,2453764,2053592
2016-03-28,5386014,4009170
2016-03-29,5805186,4312633
2016-03-30,5873145,4347593
2016-03-31,5876117,4354637
2016-04-01,5742510,4310128
2016-04-02,3226418,2589321
2016-04-03,2410787,1979070
2016-04-04,5547090,4084855
2016-04-05,5857214,4313531
2016-04-06,5910620,4337252
2016-04-07,5801137,4249874
2016-04-08,5872792,4359057
2016-04-09,3077678,2439180
